TABLETYP,ICD10,Pure Victorian Logical,,,,
A,C749,1940,,,,
A,C750,1941,,,,
A,C751,1943,,,,
A,C752,1943,,,,
A,C753,1944,,,,
A,C754,1945,,,,
A,C755,1946,,,,
A,C758,1948,,,,
A,C759,1949,,,,
A,C760,1950,,,,
A,C761,1951,,,,
A,C762,1952,,,,
A,C763,1953,,,,
A,C764,1954,,,,
A,C765,1955,,,,
A,C767,1958,,,,
A,C768,1958,,,,
A,C770,1960,,,,
A,C771,1961,,,,
A,C772,1962,,,,
A,C773,1963,,,,
A,C774,1965,,,,
A,C775,1966,,,,
A,C778,1968,,,,
A,C779,1969,,,,
A,C780,1970,,,,
A,C781,1971,,,,
A,C782,1972,,,,
A,C783,1973,,,,
A,C784,1974,,,,
A,C785,1975,,,,
A,C786,1976,,,,
A,C787,1977,,,,
A,C788,1978,,,,
A,C790,1980,,,,
A,C791,1981,,,,
A,C792,1982,,,,
A,C793,1983,,,,
A,C794,1984,,,,
A,C795,1985,,,,
A,C796,1986,,,,
A,C797,1987,,,,
A,C7981,19881,,,,
A,C7982,19882,,,,
A,C7988,19889,,,,
A,C80,1991,,,,
A,C810,20140,,,,
A,C811,20150,,,,
A,C812,20160,,,,
A,C813,20170,,,,
A,C817,20100,,,,
A,C819,20190,,,,
A,C820,20200,,,,
A,C821,20200,,,,
A,C822,20000,,,,
A,C827,20200,,,,
A,C829,20200,,,,
A,C830,20010,,,,
A,C831,20010,,,,
A,C832,20080,,,,
A,C833,20000,,,,
A,C834,20080,,,,
A,C835,20280,,,,
A,C836,20020,,,,
A,C837,20020,,,,
A,C838,20280,,,,
A,C839,20280,,,,
A,C840,20210,,,,
A,C841,20220,,,,
